fid,PA,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,mlotst_108,mlotst_107,mlotst_106,mlotst_105,mlotst_104,mlotst_103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,bat,Long,Lat
"63",0,0.60195,1.44027,0.27659,0.50792,0.29501,0.25323,12.51259,10.68148,13.73333,35.09629,164.64737,180.82217,280.88028,279.78741,276.66544,274.03061,273.12173,273.3093,-1575,-9.20833333333334,67.7083333333333
"64",0,0.932,0.29783,0.76906,1.01446,0.22796,,11.90222,10.98666,12.66518,14.64889,12.36,123.90515,279.2117,279.30994,276.41077,274.43225,,274.39621,-745,-21.2916666666667,67.625
"65",0,0.88811,0.29334,0.63735,1.0822,0.23193,,11.90222,10.98666,12.81777,15.25926,12.97037,121.61626,279.19098,279.34241,276.55392,274.50104,,274.39291,-747,-21.2083333333333,67.625
"66",1,0.52496,0.45406,0.68441,0.26105,0.24528,0.26791,11.59703,11.13926,13.73333,15.56444,92.47108,151.52441,279.25327,278.17603,275.78909,274.75195,274.43338,274.01028,-1030,-17.875,67.625
"67",0,0.61123,0.39071,0.7556,0.34201,0.2668,0.24963,11.13926,10.83407,14.80148,25.63555,120.39552,149.84589,280.40155,279.07819,276.20062,274.94971,273.90305,274.84579,-883,-15.875,67.625
"68",0,0.59715,0.34172,0.70815,0.35448,0.26496,0.25538,11.13926,10.68148,14.80148,25.33036,119.93775,146.79404,280.39572,279.01648,276.22324,274.99332,273.89621,274.7821,-880,-15.7916666666667,67.625
"69",1,0.35397,0.19065,0.27862,0.55107,0.34334,0.3197,11.90222,10.68148,15.41185,23.04148,106.35701,103.30516,279.68314,278.34482,275.11935,273.42249,272.61716,272.67569,-1602,-13.7083333333333,67.625
"70",0,0.35186,0.19376,0.27943,0.5928,0.34132,0.29732,12.05481,10.68148,15.25926,22.5837,110.17182,116.42812,279.70306,278.38126,275.18338,273.43546,272.63162,272.65253,-1608,-13.625,67.625
"71",0,0.34257,0.21577,0.27365,0.72359,0.36218,0.29219,12.2074,10.68148,14.95407,22.5837,112.7659,128.17775,279.72812,278.43015,275.24521,273.45959,272.64212,272.64069,-1616,-13.5416666666667,67.625
"72",0,0.35732,0.24818,0.28008,0.82517,0.36832,0.29895,12.36,10.68148,14.80148,22.5837,116.42812,134.73923,279.75891,278.48898,275.30167,273.48825,272.64911,272.63867,-1627,-13.4583333333333,67.625
"73",0,0.63489,0.95958,0.28068,0.61664,0.28364,0.23855,12.2074,10.68148,13.27555,31.28147,151.677,174.71848,280.81555,279.88269,276.70474,274.1239,273.15628,273.29651,-1867,-9.125,67.625
