fid,PA,bat,mlotst_158,mlotst_157,mlotst_156,mlotst_155,mlotst_154,mlotst_153,sst_1508,sst_1507,sst_1506,sst_1505,sst_1504,sst_1503,chlor_1508,chlor_1507,chlor_1506,chlor_1505,chlor_1504,chlor_1503,Lat,Long
"104",0,-424,24.87259,19.22666,14.49629,41.81036,144.96292,194.09773,280.02295,280.04733,278.20035,276.65482,275.89151,275.72885,0.68194,0.97583,0.88739,0.66181,0.32373,0.3166,67.625,-18.9583333333333
"105",0,-955,16.02222,18.15851,17.39555,37.53777,117.03849,167.39403,279.93878,279.96075,277.2518,275.24429,274.44202,274.82535,0.33415,0.8279,0.82092,1.73963,0.52299,0.31417,67.625,-16.7916666666667
"106",1,-427,17.24296,11.44444,12.66518,16.02222,21.66814,26.85629,275.66669,274.73462,273.49527,,,271.44757,0.39544,0.62692,0.53749,,0.15583,0.27018,67.5416666666667,-26.0416666666667
"107",1,-816,41.0474,19.07407,16.02222,19.98962,29.75555,63.6311,277.35825,279.14142,276.45227,275.23407,275.07709,273.91956,0.42888,0.49094,0.95105,0.82014,0.28911,0.285,67.5416666666667,-23.7083333333333
"108",0,-660,24.5674,18.15851,14.95407,20.29481,154.42366,67.90369,280.04251,279.75302,278.18695,277.00809,275.62955,275.20425,0.8619,1.50969,0.88215,0.29469,0.31995,0.3098,67.5416666666667,-21.2916666666667
"109",0,-410,24.41481,20.29481,15.71703,32.34962,127.1096,171.81921,280.10474,280.09698,278.173,276.67056,276.15173,275.71793,0.72761,0.94677,0.80095,0.78885,0.33231,0.3177,67.5416666666667,-18.9583333333333
"110",0,-887,16.3274,16.93777,18.00592,40.13184,122.53182,182.19551,280.04919,280.16052,277.41672,275.41837,274.63156,275.21222,0.29914,0.64933,0.62528,2.61108,0.45147,0.29976,67.5416666666667,-16.7083333333333
"111",0,-302,14.80148,10.68148,10.98666,12.66518,20.75259,66.37776,275.82526,275.02054,,,,,0.351,0.70134,1.50348,,,0.34879,67.4583333333333,-27.9583333333333
"112",0,-663,17.39555,11.13926,12.51259,15.56444,21.82074,29.29777,275.62018,274.79416,273.4469,,,271.53943,0.40127,0.76112,0.3639,,0.16924,0.23127,67.4583333333333,-26.0416666666667
"113",1,-702,38.30073,22.73629,17.09037,22.4311,36.9274,77.21183,278.09091,279.63528,277.20218,275.89822,275.95114,274.56195,0.45039,0.7859,0.95984,0.3758,0.29424,0.29124,67.4583333333333,-23.7083333333333
"114",0,-544,29.14518,21.05777,15.71703,20.90518,123.59997,74.00739,280.21942,279.86777,278.5434,277.61581,276.24426,275.82196,0.92931,2.08528,0.2901,0.28112,0.32109,0.30882,67.4583333333333,-21.2916666666667
"115",0,-416,23.65185,21.51555,15.86963,26.5511,123.44738,150.76144,280.29962,280.14423,278.28348,276.74786,276.31189,275.78122,0.62466,0.69821,0.75974,0.46999,0.32694,0.30917,67.4583333333333,-18.9583333333333
"116",0,-831,16.17481,17.54814,18.00592,41.96295,130.46663,182.3481,280.15997,280.2919,277.52002,275.58847,274.88501,275.34756,0.3631,0.63173,0.55098,2.42577,0.3813,0.23724,67.4583333333333,-16.7083333333333
"117",0,-303,15.10666,10.68148,11.13926,13.12296,19.83703,69.88739,275.94891,275.07501,273.0022,,,271.39099,0.31355,0.65616,1.43156,,0.14609,0.2584,67.375,-27.875
"118",0,-307,14.95407,10.68148,11.29185,13.12296,19.22666,70.34517,275.88086,274.99081,273.03943,,,271.40277,0.33225,0.64716,1.36161,,0.12448,0.25281,67.375,-27.7916666666667
"119",1,-738,17.54814,11.13926,12.05481,14.64889,20.4474,33.26518,275.52368,274.86035,273.63919,,,271.53073,0.38622,0.79423,0.33054,,0.22776,0.27695,67.375,-26.125
"120",1,-588,35.09629,23.04148,17.09037,23.34666,49.74517,92.1659,278.67938,279.56915,277.68469,276.83917,276.14233,275.3277,0.40354,1.15253,1.40114,0.35048,0.26269,0.2586,67.375,-23.7083333333333
"121",0,-346,32.8074,26.7037,18.00592,25.94073,97.04887,103.91553,280.2486,279.98938,278.8558,277.93652,276.89728,276.45465,0.74227,1.63526,1.56678,0.26585,0.28905,0.28961,67.375,-21.2916666666667
"122",0,-768,16.48,19.07407,18.00592,45.93036,148.77774,189.21477,280.3082,280.3652,277.6618,275.72656,275.26788,275.45474,0.57951,0.66013,0.46702,2.02007,0.35519,0.2567,67.375,-16.7083333333333
"123",0,-764,17.54814,10.98666,10.98666,13.58074,18.76888,37.84295,275.50439,275.01715,274.08414,,,271.58377,0.37211,1.13314,0.42999,0.27316,0.21411,0.25058,67.2916666666667,-26.125
"124",0,-423,36.01184,19.98962,17.09037,23.34666,54.47554,97.35405,279.16342,279.36438,278.17615,277.91312,276.15921,276.17444,0.47345,1.14017,0.79006,0.26968,0.27687,0.26742,67.2916666666667,-23.625
